#City GoogleResults Latitude Longitude SearchPhrase
Wilmington 16100 77.8858 34.2092 http://www.google.com/search?q=Wilmington+"tech+hub"
San_Jose 39100 121.8193 37.2969 http://www.google.com/search?q=San+Jose+"tech+hub"
Burbank 9260 118.3249 34.1890 http://www.google.com/search?q=Burbank+"tech+hub"
Round_Rock 13300 97.6674 30.5237 http://www.google.com/search?q=Round+Rock+"tech+hub"
Tucson 33600 110.8711 32.1543 http://www.google.com/search?q=Tucson+"tech+hub"
Cary 4790 78.8141 35.7821 http://www.google.com/search?q=Cary+"tech+hub"
High_Point 58100 79.9902 35.9855 http://www.google.com/search?q=High+Point+"tech+hub"
Las_Cruces 3210 106.7653 32.3197 http://www.google.com/search?q=Las+Cruces+"tech+hub"
Sunnyvale 38100 122.0263 37.3858 http://www.google.com/search?q=Sunnyvale+"tech+hub"
Columbia 31100 92.3261 38.9479 http://www.google.com/search?q=Columbia+"tech+hub"
Buffalo 32900 78.8597 42.8925 http://www.google.com/search?q=Buffalo+"tech+hub"
Brownsville 3220 97.4538 26.0183 http://www.google.com/search?q=Brownsville+"tech+hub"
Macon 16500 83.396 32.505 http://www.google.com/search?q=Macon+"tech+hub"
Madison 21700 89.4301 43.0878 http://www.google.com/search?q=Madison+"tech+hub"
Seattle 49500 122.3509 47.6205 http://www.google.com/search?q=Seattle+"tech+hub"
Newport_News 3460 76.5217 37.0760 http://www.google.com/search?q=Newport+News+"tech+hub"
Boston 80000 71.0202 42.3320 http://www.google.com/search?q=Boston+"tech+hub"
Clearwater 9820 82.7663 27.9795 http://www.google.com/search?q=Clearwater+"tech+hub"
Dayton 18000 84.1996 39.7774 http://www.google.com/search?q=Dayton+"tech+hub"
Las_Vegas 30300 115.2640 36.2277 http://www.google.com/search?q=Las+Vegas+"tech+hub"
Modesto 5300 120.9891 37.6609 http://www.google.com/search?q=Modesto+"tech+hub"
Mesquite 3880 96.5924 32.7639 http://www.google.com/search?q=Mesquite+"tech+hub"
Huntington_Beach 16600 118.0093 33.6906 http://www.google.com/search?q=Huntington+Beach+"tech+hub"
Tacoma 33000 122.4598 47.2522 http://www.google.com/search?q=Tacoma+"tech+hub"
Provo 2150 111.6448 40.2453 http://www.google.com/search?q=Provo+"tech+hub"
South_Bend 2960 86.2690 41.6769 http://www.google.com/search?q=South+Bend+"tech+hub"
Carlsbad 5560 117.2828 33.1239 http://www.google.com/search?q=Carlsbad+"tech+hub"
Rancho_Cucamonga 3730 117.5642 34.1233 http://www.google.com/search?q=Rancho+Cucamonga+"tech+hub"
Norwalk 7880 118.0834 33.9069 http://www.google.com/search?q=Norwalk+"tech+hub"
Ontario 22700 117.6088 34.0395 http://www.google.com/search?q=Ontario+"tech+hub"
Santa_Clara 26900 121.9679 37.3646 http://www.google.com/search?q=Santa+Clara+"tech+hub"
Midland 11100 102.1097 32.0299 http://www.google.com/search?q=Midland+"tech+hub"
Dallas 43800 96.7967 32.7757 http://www.google.com/search?q=Dallas+"tech+hub"
Waterbury 4350 73.0367 41.5585 http://www.google.com/search?q=Waterbury+"tech+hub"
Thornton 97600 104.9454 39.9180 http://www.google.com/search?q=Thornton+"tech+hub"
Syracuse 25300 76.1436 43.0410 http://www.google.com/search?q=Syracuse+"tech+hub"
Fullerton 78300 117.9280 33.8857 http://www.google.com/search?q=Fullerton+"tech+hub"
Temecula 9740 117.1246 33.5019 http://www.google.com/search?q=Temecula+"tech+hub"
St._Petersburg 10800 82.6441 27.7620 http://www.google.com/search?q=St.+Petersburg+"tech+hub"
Lansing 18200 84.5562 42.7098 http://www.google.com/search?q=Lansing+"tech+hub"
Richmond 101000 122.3594 37.9530 http://www.google.com/search?q=Richmond+"tech+hub"
Providence 25300 71.4188 41.8231 http://www.google.com/search?q=Providence+"tech+hub"
Louisville 91500 85.6667 38.1781 http://www.google.com/search?q=Louisville+"tech+hub"
Pasadena 7010 118.1396 34.1606 http://www.google.com/search?q=Pasadena+"tech+hub"
Clovis 2850 119.4211 36.4931 http://www.google.com/search?q=Clovis+"tech+hub"
