Francisco-Elson 44 62 43 50 0 0
Jeremy-Richardson 3 4 2 4 0 0
DeShawn-Stevenson 126 191 130 166 9 12
Antonio-Daniels 139 180 110 137 0 0
Andray-Blatche 440 618 352 476 1 1
Caron-Butler 622 746 479 549 15 15
Sam-Cassell 66 80 61 64 0 0
Tim-Thomas 118 163 98 126 7 7
Gerald-Green 133 181 121 134 5 6
Aaron-Williams 8 11 6 7 0 0
Al-Thornton 377 526 324 412 1 1
Brevin-Knight 57 70 48 60 1 1
Quinton-Ross 42 71 42 56 1 1
Marcus-Banks 38 51 30 39 0 0
Royal-Ivey 70 106 70 91 0 1
Raja-Bell 150 175 127 143 2 3
Chris-Wilcox 199 352 180 275 0 0
Damien-Wilkins 223 306 174 228 2 2
Wally-Szczerbiak 132 158 106 122 1 1
Mouhamed-Sene 8 15 8 12 0 0
Corey-Maggette 969 1201 845 991 10 11
Chris-Kaman 398 542 333 437 0 0
Randy-Foye 428 519 338 379 14 16
Tayshaun-Prince 431 586 363 471 1 1
Chauncey-Billups 993 1110 763 812 40 44
Amir-Johnson 302 448 248 344 0 0
Rodney-Stuckey 931 1149 704 832 2 2
Jason-Maxiell 320 546 261 455 0 0
Jarvis-Hayes 53 73 39 54 3 3
Salim-Stoudamire 21 25 15 20 5 5
Jake-Voskuhl 19 22 16 21 0 0
Stephane-Lasme 6 17 13 15 0 0
Ramon-Sessions 775 995 669 820 0 0
Joel-Anthony 126 204 127 177 0 0
Ricky-Davis 109 147 95 116 0 1
Chris-Quinn 80 97 64 75 0 0
Rafer-Alston 164 224 146 198 2 2
Shane-Battier 160 235 156 194 6 8
Bobby-Jones 23 29 16 21 0 0
Juan-Carlos-Navarro 68 77 50 63 4 4
Dahntay-Jones 329 428 256 337 4 6
Jannero-Pargo 84 93 59 65 3 3
Rasual-Butler 169 221 132 158 9 11
Luke-Jackson 9 13 7 10 0 0
Alexander-Johnson 27 45 30 38 0 0
Rasheed-Wallace 166 218 136 176 0 0
Alonzo-Mourning 20 39 23 35 0 0
Jason-Williams 56 71 43 49 1 1
Quincy-Douby 35 39 29 31 1 1
Carlos-Arroyo 113 136 87 101 2 2
Kirk-Snyder 34 48 27 35 0 0
Sebastian-Telfair 223 296 183 228 4 4
Nenad-Krstic 165 218 139 182 0 0
Andrew-Bynum 442 640 352 492 0 0
Andre-Owens 13 19 12 15 0 0
Jordan-Farmar 175 241 121 165 0 0
David-Harrison 25 54 24 42 0 0
Luke-Walton 71 107 64 90 1 1
Robert-Horry 9 14 8 13 1 1
Carl-Landry 701 915 568 699 1 1
Aaron-Brooks 410 493 306 357 22 24
Ronny-Turiaf 215 319 155 249 0 0
Gilbert-Arenas 196 268 164 208 6 6
Damon-Stoudamire 18 24 9 10 0 0
Travis-Diener 41 47 34 41 2 2
Mardy-Collins 34 60 30 44 0 1
Jamal-Crawford 975 1137 696 775 80 90
Brandon-Bass 546 686 469 544 1 1
Jose-Juan-Barea 238 295 184 228 1 1
Vladimir-Radmanovic 90 116 78 98 1 2
Chris-Richard 13 21 10 17 0 0
Luke-Ridnour 436 490 282 330 0 0
Ben-Wallace 92 266 107 231 0 0
Devin-Brown 135 179 116 146 0 0
Dwayne-Jones 13 33 19 31 0 0
Larry-Hughes 188 241 170 203 4 4
Kurt-Thomas 73 112 69 93 0 0
DerMarr-Johnson 0 1 0 1 0 0
Mickael-Pietrus 152 227 128 191 4 5
Ronald-Murray 197 285 184 233 4 4
Ruben-Patterson 13 23 11 20 0 0
Awvee-Storey 7 16 7 13 0 0
Brian-Skinner 37 64 30 52 0 0
Chuck-Hayes 112 193 95 152 0 0
Michael-Ruffin 14 33 13 32 0 0
Nate-Robinson 403 519 327 389 16 18
Wilson-Chandler 369 484 295 362 5 6
Jared-Jeffries 133 235 119 192 0 0
Randolph-Morris 17 33 17 27 0 0
Earl-Boykins 111 138 95 105 2 2
Jermareo-Davidson 16 24 10 21 0 0
Fred-Jones 81 118 79 89 0 0
Donyell-Marshall 13 14 9 13 0 1
Maceo-Baston 13 19 11 18 0 0
Dominic-McGuire 84 131 75 110 0 1
Ray-Allen 705 782 391 422 13 14
Trevor-Ariza 406 559 323 441 5 7
James-Posey 146 192 135 154 6 6
Glen-Davis 415 599 348 489 1 1
Delonte-West 187 241 159 183 1 2
Mickael-Gelabale 24 25 11 17 0 0
Hilton-Armstrong 65 125 72 108 0 0
J.J.-Redick 509 593 354 386 37 39
Richard-Hamilton 493 590 354 415 5 6
Paul-Davis 18 22 16 21 0 0
Chris-Mihm 15 19 9 15 0 0
C.J.-Watson 364 471 307 362 8 8
