WPCT, FG3A, FGA, FG2PCT, FG3PCT, FTM, OREB, DREB, AST, TOV, STL, BLK, BLKA, PF, PTS, year, team
0.537, 14.0, 82.6, 0.463556851312, 0.343, 17.4, 12.8, 29.8, 21.0, 14.7, 8.1, 4.9, 5.5, 22.0, 95.5, 02, "Phoenix Suns"
0.61, 14.0, 79.2, 0.48773006135, 0.33, 17.7, 12.1, 29.0, 22.7, 15.2, 8.8, 3.9, 4.8, 19.9, 95.2, 02, "Portland Trail Blazers"
0.72, 15.7, 85.2, 0.482014388489, 0.381, 16.7, 11.0, 33.5, 24.8, 14.5, 9.0, 5.6, 4.3, 20.3, 101.7, 02, "Sacramento Kings"
0.732, 15.5, 76.8, 0.489396411093, 0.354, 19.4, 11.5, 31.2, 20.0, 15.8, 7.7, 6.5, 5.1, 20.4, 95.8, 02, "San Antonio Spurs"
0.488, 15.7, 80.5, 0.456790123457, 0.353, 16.2, 11.7, 29.1, 21.6, 13.2, 8.3, 3.6, 5.0, 20.9, 92.1, 02, "Seattle SuperSonics"
0.293, 14.5, 81.3, 0.444610778443, 0.343, 16.5, 12.5, 28.7, 19.3, 14.4, 7.4, 4.8, 5.0, 21.5, 90.9, 02, "Toronto Raptors"
0.573, 7.8, 75.5, 0.481536189069, 0.349, 21.3, 12.5, 29.0, 25.6, 16.8, 8.6, 5.7, 5.2, 22.4, 94.7, 02, "Utah Jazz"
0.451, 9.9, 78.0, 0.458149779736, 0.312, 19.7, 11.2, 29.2, 19.7, 13.4, 7.6, 4.8, 4.4, 20.0, 91.5, 02, "Washington Wizards"
0.341, 15.2, 79.6, 0.45652173913, 0.335, 18.7, 12.1, 30.6, 20.1, 16.5, 7.6, 5.0, 5.1, 22.3, 92.8, 03, "Atlanta Hawks"
0.439, 19.5, 78.2, 0.477001703578, 0.346, 19.2, 10.4, 29.8, 20.5, 16.2, 9.4, 4.0, 5.0, 22.4, 95.3, 03, "Boston Celtics"
0.28, 15.3, 82.4, 0.430700447094, 0.342, 16.2, 12.8, 30.7, 21.9, 16.1, 8.0, 4.8, 5.4, 23.3, 89.7, 03, "Chicago Bulls"
0.427, 9.6, 82.4, 0.447802197802, 0.314, 18.6, 13.6, 31.9, 22.0, 14.8, 7.1, 6.5, 5.3, 21.3, 92.9, 03, "Cleveland Cavaliers"
0.634, 17.8, 88.2, 0.487215909091, 0.348, 18.0, 14.3, 31.0, 23.9, 12.2, 8.0, 5.3, 4.7, 19.6, 105.2, 03, "Dallas Mavericks"
0.524, 12.0, 82.5, 0.460992907801, 0.336, 20.2, 13.2, 29.1, 21.9, 15.6, 9.1, 6.3, 5.8, 22.0, 97.2, 03, "Denver Nuggets"
0.659, 11.8, 77.0, 0.450920245399, 0.344, 19.0, 12.4, 30.4, 20.8, 15.1, 8.0, 7.0, 5.0, 20.3, 90.1, 03, "Detroit Pistons"
0.451, 15.6, 79.4, 0.468652037618, 0.334, 17.9, 12.2, 30.9, 20.5, 14.8, 7.0, 4.7, 5.1, 20.6, 93.3, 03, "Golden State Warriors"
0.549, 17.1, 75.5, 0.46404109589, 0.366, 16.7, 10.3, 32.3, 19.3, 16.7, 6.8, 5.4, 4.4, 21.5, 89.8, 03, "Houston Rockets"
0.744, 15.6, 77.1, 0.456910569106, 0.351, 18.8, 11.8, 29.9, 21.6, 14.4, 8.9, 5.0, 6.2, 20.8, 91.4, 03, "Indiana Pacers"
0.341, 12.5, 80.2, 0.449039881832, 0.321, 22.0, 14.0, 29.5, 20.2, 16.4, 7.2, 4.6, 5.3, 22.1, 94.8, 03, "Los Angeles Clippers"
0.683, 13.6, 81.4, 0.477876106195, 0.327, 19.9, 12.2, 30.9, 23.8, 13.8, 8.3, 4.6, 3.8, 21.1, 98.2, 03, "Los Angeles Lakers"
0.61, 16.0, 81.2, 0.469325153374, 0.34, 19.0, 12.8, 29.0, 23.4, 15.0, 9.7, 6.9, 5.6, 23.2, 96.7, 03, "Memphis Grizzlies"
0.512, 16.5, 78.3, 0.443365695793, 0.357, 17.8, 11.5, 30.0, 19.1, 13.9, 7.2, 3.8, 5.4, 22.1, 90.3, 03, "Miami Heat"
0.5, 14.0, 81.1, 0.466467958271, 0.35, 20.7, 11.7, 30.5, 22.8, 13.5, 6.8, 4.7, 5.0, 20.3, 98.0, 03, "Milwaukee Bucks"
0.707, 10.9, 80.1, 0.476878612717, 0.363, 16.6, 10.7, 32.3, 23.0, 12.7, 6.8, 5.6, 3.6, 21.1, 94.5, 03, "Minnesota Timberwolves"
0.573, 13.7, 77.7, 0.4640625, 0.336, 17.0, 10.5, 30.2, 24.5, 14.7, 8.6, 3.9, 4.6, 21.0, 90.3, 03, "New Jersey Nets"
0.5, 20.3, 80.5, 0.453488372093, 0.319, 17.7, 13.3, 29.5, 20.9, 15.0, 8.6, 4.2, 5.2, 20.9, 91.8, 03, "New Orleans Hornets"
0.476, 13.6, 79.4, 0.457446808511, 0.364, 16.8, 11.6, 31.0, 20.7, 15.7, 7.4, 4.8, 4.7, 23.1, 92.0, 03, "New York Knicks"
0.256, 15.2, 82.5, 0.448736998514, 0.344, 18.0, 12.2, 28.7, 19.3, 13.7, 6.7, 3.8, 5.5, 21.3, 94.0, 03, "Orlando Magic"
0.402, 12.1, 76.3, 0.445482866044, 0.342, 18.4, 11.5, 29.4, 20.0, 15.9, 8.0, 4.4, 5.6, 20.7, 88.0, 03, "Philadelphia 76ers"
0.354, 14.7, 81.4, 0.464767616192, 0.345, 17.0, 11.3, 29.3, 19.3, 15.2, 9.0, 4.7, 5.3, 22.7, 94.2, 03, "Phoenix Suns"
0.5, 13.4, 78.9, 0.468702290076, 0.346, 15.4, 12.7, 29.0, 21.6, 14.8, 7.5, 5.4, 4.8, 19.0, 90.7, 03, "Portland Trail Blazers"
0.671, 18.3, 81.8, 0.48031496063, 0.401, 19.8, 10.8, 30.4, 26.2, 13.9, 8.7, 4.0, 5.0, 19.3, 102.8, 03, "Sacramento Kings"
0.695, 13.9, 78.5, 0.459752321981, 0.358, 17.2, 12.5, 32.5, 20.4, 14.7, 8.1, 6.5, 4.6, 20.3, 91.5, 03, "San Antonio Spurs"
0.451, 23.6, 80.4, 0.475352112676, 0.373, 16.6, 11.1, 28.3, 21.7, 14.5, 8.1, 4.7, 4.7, 21.8, 97.1, 03, "Seattle SuperSonics"
0.402, 15.8, 77.4, 0.435064935065, 0.356, 15.1, 10.1, 29.5, 19.2, 14.2, 7.4, 4.9, 4.1, 21.3, 85.4, 03, "Toronto Raptors"
0.512, 9.6, 75.3, 0.452054794521, 0.321, 20.0, 13.5, 27.7, 20.4, 16.6, 7.1, 6.0, 6.5, 25.6, 88.7, 03, "Utah Jazz"
0.305, 15.5, 80.0, 0.438759689922, 0.342, 19.3, 13.6, 29.2, 18.7, 17.5, 8.9, 5.0, 5.5, 20.9, 91.8, 03, "Washington Wizards"
0.159, 11.9, 81.4, 0.463309352518, 0.312, 17.3, 13.4, 28.5, 19.7, 16.1, 7.7, 4.2, 5.9, 24.5, 92.7, 04, "Atlanta Hawks"
0.549, 15.3, 79.4, 0.496099843994, 0.349, 21.6, 11.1, 29.7, 22.1, 15.8, 8.1, 5.2, 4.9, 24.4, 101.3, 04, "Boston Celtics"
0.22, 10.7, 83.6, 0.441700960219, 0.363, 18.1, 13.2, 28.5, 21.9, 14.5, 8.5, 5.4, 5.4, 23.1, 94.3, 04, "Charlotte Bobcats"
0.573, 17.5, 80.4, 0.453100158983, 0.357, 18.7, 12.2, 31.6, 21.3, 16.7, 7.0, 4.5, 5.3, 24.7, 94.5, 04, "Chicago Bulls"
0.512, 11.0, 81.5, 0.46524822695, 0.332, 19.9, 13.6, 28.7, 22.6, 13.9, 8.0, 5.6, 5.1, 22.6, 96.5, 04, "Cleveland Cavaliers"
0.707, 15.5, 81.6, 0.479576399395, 0.364, 22.3, 12.1, 30.9, 19.6, 13.4, 8.6, 5.6, 4.9, 22.3, 102.5, 04, "Dallas Mavericks"
0.598, 11.5, 80.7, 0.478323699422, 0.34, 21.5, 11.8, 30.2, 23.9, 14.9, 9.1, 6.0, 5.6, 22.9, 99.5, 04, "Denver Nuggets"
0.659, 12.8, 78.3, 0.464122137405, 0.345, 19.4, 12.9, 30.6, 21.8, 13.8, 7.0, 6.1, 4.5, 20.0, 93.3, 04, "Detroit Pistons"
0.415, 21.6, 85.8, 0.456386292835, 0.352, 17.2, 13.0, 29.7, 22.1, 13.6, 7.8, 5.1, 5.1, 22.4, 98.7, 04, "Golden State Warriors"
0.622, 18.5, 78.3, 0.468227424749, 0.364, 18.9, 10.7, 31.7, 21.1, 13.8, 6.9, 4.6, 4.1, 22.0, 95.1, 04, "Houston Rockets"
0.537, 19.2, 75.2, 0.4625, 0.344, 21.3, 10.6, 29.5, 18.2, 14.3, 7.5, 4.4, 4.9, 23.0, 93.0, 04, "Indiana Pacers"
0.451, 8.2, 77.7, 0.473381294964, 0.345, 21.6, 12.0, 29.9, 23.2, 15.7, 7.3, 5.1, 4.8, 22.2, 95.7, 04, "Los Angeles Clippers"
0.415, 22.1, 80.8, 0.466780238501, 0.355, 20.3, 12.5, 30.6, 20.4, 14.3, 6.2, 4.2, 5.1, 21.9, 98.7, 04, "Los Angeles Lakers"
0.549, 18.1, 76.5, 0.474315068493, 0.357, 18.6, 10.8, 28.1, 20.9, 14.6, 8.5, 5.8, 5.8, 23.3, 93.4, 04, "Memphis Grizzlies"
0.72, 15.4, 77.7, 0.513643659711, 0.377, 20.2, 10.8, 32.2, 21.8, 13.7, 6.4, 5.8, 3.2, 22.1, 101.5, 04, "Miami Heat"
0.366, 11.3, 80.2, 0.465892597968, 0.351, 21.0, 12.0, 29.3, 21.0, 13.8, 6.5, 3.5, 4.5, 21.9, 97.2, 04, "Milwaukee Bucks"
0.537, 14.0, 80.8, 0.483532934132, 0.345, 17.7, 11.5, 31.5, 23.4, 13.2, 5.6, 5.5, 3.9, 21.6, 96.8, 04, "Minnesota Timberwolves"
0.512, 14.7, 78.3, 0.444968553459, 0.362, 19.0, 10.4, 29.1, 21.6, 14.2, 7.9, 3.8, 4.9, 24.2, 91.4, 04, "New Jersey Nets"
0.22, 16.0, 79.9, 0.438184663537, 0.315, 17.1, 12.4, 27.8, 21.0, 14.8, 6.7, 3.8, 5.5, 23.0, 88.4, 04, "New Orleans Hornets"
0.402, 15.1, 80.5, 0.47247706422, 0.356, 19.3, 11.8, 29.2, 20.3, 14.7, 7.7, 3.2, 4.7, 23.7, 97.3, 04, "New York Knicks"
0.439, 11.2, 81.5, 0.470839260313, 0.349, 21.6, 12.7, 31.0, 19.3, 16.1, 7.7, 5.4, 4.3, 23.6, 99.5, 04, "Orlando Magic"
0.524, 17.7, 82.1, 0.461180124224, 0.348, 21.1, 11.1, 30.9, 20.9, 15.5, 9.2, 3.9, 4.7, 22.9, 99.1, 04, "Philadelphia 76ers"
0.756, 24.7, 85.6, 0.512315270936, 0.393, 19.0, 11.8, 32.3, 23.5, 13.7, 7.0, 5.5, 4.2, 19.1, 110.4, 04, "Phoenix Suns"
0.329, 14.2, 78.3, 0.471138845554, 0.362, 17.2, 11.8, 29.3, 21.0, 16.0, 7.1, 6.6, 5.0, 20.8, 92.9, 04, "Portland Trail Blazers"
0.61, 17.0, 85.1, 0.480176211454, 0.374, 19.2, 12.5, 29.9, 24.5, 13.1, 8.2, 3.9, 4.5, 20.5, 103.7, 04, "Sacramento Kings"
0.72, 17.0, 78.7, 0.476499189627, 0.363, 18.7, 12.0, 30.4, 21.6, 13.7, 7.5, 6.6, 5.1, 20.9, 96.2, 04, "San Antonio Spurs"
0.634, 22.2, 79.2, 0.473684210526, 0.365, 20.5, 12.7, 28.2, 18.1, 13.6, 6.7, 4.1, 4.8, 23.7, 98.9, 04, "Seattle SuperSonics"
0.402, 20.5, 81.2, 0.462932454695, 0.385, 19.8, 10.3, 29.8, 20.4, 13.3, 7.6, 3.9, 4.4, 22.9, 99.7, 04, "Toronto Raptors"
0.317, 9.3, 76.8, 0.466666666667, 0.328, 21.0, 12.8, 27.4, 22.3, 15.8, 6.6, 4.6, 5.8, 26.7, 93.0, 04, "Utah Jazz"
0.549, 18.3, 82.8, 0.463565891473, 0.343, 21.9, 13.8, 29.0, 19.1, 14.3, 8.7, 4.2, 5.0, 22.0, 100.5, 04, "Washington Wizards"
0.317, 14.1, 79.2, 0.47158218126, 0.367, 20.2, 13.0, 27.2, 19.8, 15.7, 7.2, 4.8, 5.1, 25.0, 97.2, 05, "Atlanta Hawks"
0.402, 15.7, 77.1, 0.49348534202, 0.362, 20.3, 9.9, 29.7, 20.9, 16.6, 7.0, 5.1, 4.9, 24.8, 98.0, 05, "Boston Celtics"
0.317, 15.4, 83.5, 0.453744493392, 0.339, 19.4, 12.1, 27.7, 20.9, 14.2, 10.0, 4.3, 5.4, 23.9, 96.9, 05, "Charlotte Bobcats"
0.5, 18.0, 82.2, 0.464174454829, 0.379, 17.7, 11.0, 31.7, 22.0, 14.9, 6.2, 4.2, 5.1, 24.9, 97.8, 05, "Chicago Bulls"
