"FG3M" "FG3_PCT" "DEF_RATING" PLAYER_NAME
0.0 0.0 100.3 Kendrick_Perkins
0.0 0.125 107.1 Kenneth_Faried
0.6 0.364 101.9 Kent_Bazemore
1.9 0.345 104.3 Kentavious_Caldwell-Pope
0.0 0.0 101.8 Kenyon_Martin
2.4 0.403 99.5 Kevin_Durant
0.0 0.143 102.5 Kevin_Garnett
1.9 0.367 103.0 Kevin_Love
1.9 0.393 111.7 Kevin_Martin
0.0 0.0 104.0 Kevin_Seraphin
1.4 0.407 96.0 Khris_Middleton
0.9 0.345 101.4 Kirk_Hinrich
3.1 0.439 97.7 Klay_Thompson
1.5 0.293 112.6 Kobe_Bryant
0.0 0.0 94.8 Kosta_Koufos
0.7 0.292 101.5 Kostas_Papanikolaou
0.0 0.0 101.3 Kris_Humphries
0.1 0.273 105.9 Kyle_Anderson
2.9 0.492 99.8 Kyle_Korver
1.9 0.338 104.5 Kyle_Lowry
0.2 0.279 102.5 Kyle_O'Quinn
1.2 0.398 106.1 Kyle_Singler
2.1 0.415 104.5 Kyrie_Irving
0.5 0.352 102.5 LaMarcus_Aldridge
0.3 0.171 101.8 Lance_Stephenson
0.1 0.318 106.2 Lance_Thomas
0.0 0.5 111.8 Landry_Fields
1.4 0.352 105.9 Langston_Galloway
0.3 0.154 106.2 Larry_Drew
0.0 0.0 100.7 Larry_Sanders
0.0 0.0 99.9 Lavoy_Allen
1.7 0.354 102.4 LeBron_James
0.7 0.384 101.7 Leandro_Barbosa
0.6 0.5 97.8 Lester_Hudson
0.2 0.214 112.0 Lorenzo_Brown
0.0 0.0 103.6 Lou_Amundson
1.9 0.34 104.6 Lou_Williams
0.9 0.307 100.5 Luc_Mbah_a_Moute
0.0 0.0 114.0 Lucas_Nogueira
0.1 0.25 100.3 Luis_Scola
0.9 0.513 106.9 Luke_Babbitt
0.4 0.317 106.3 Luke_Ridnour
1.1 0.355 105.1 Luol_Deng
0.0 0.0 100.0 Malcolm_Lee
0.0 0.0 113.2 Malcolm_Thomas
1.3 0.345 96.7 Manu_Ginobili
0.0 0.176 101.9 Marc_Gasol
0.0 0.0 97.5 Marcin_Gortat
1.4 0.374 105.1 Marco_Belinelli
1.4 0.358 105.8 Marcus_Morris
1.4 0.335 101.3 Marcus_Smart
1.1 0.378 102.2 Marcus_Thornton
0.9 0.294 102.8 Mario_Chalmers
0.4 0.266 105.9 Markel_Brown
0.7 0.318 101.4 Markieff_Morris
0.1 0.278 101.0 Marreese_Speights
0.3 0.233 109.4 Martell_Webster
1.2 0.358 102.2 Marvin_Williams
0.0 0.0 107.2 Mason_Plumlee
1.8 0.362 102.1 Matt_Barnes
