2.2803508502 2.24499443206 92.0 113.8 0.552 0.133 0.254 15.3 15.9 54.5 Gee,Alonzo Hickson,J.J. Parker,Anthony Samuels,Samardo Sessions,Ramon 10
2.86356421266 2.683281573 120.4 109.2 0.481 0.176 0.391 16.1 17.6 45.1 Curry,Stephen Ellis,Monta Lee,David Radmanovic,Vladimir Wright,Dorell 10
2.2803508502 2.13541565041 104.8 110.5 0.513 0.149 0.336 12.7 14.9 51.4 Eyenga,Christian Hickson,J.J. Jamison,Antawn Parker,Anthony Sessions,Ramon 10
2.86356421266 2.8 105.7 108.3 0.506 0.131 0.268 13.4 14.0 46.2 Casspi,Omri Dalembert,Samuel Evans,Tyreke Landry,Carl Udrih,Beno 10
3.89871773792 3.87814388593 100.4 101.4 0.479 0.156 0.264 12.5 17.2 34.5 Carter,Vince Howard,Dwight Lewis,Rashard Nelson,Jameer Richardson,Quentin 10
3.31662479036 3.16227766017 97.0 107.4 0.496 0.107 0.271 13.8 12.9 40.8 Favors,Derrick Graham,Stephen Harris,Devin Lopez,Brook Outlaw,Travis 10
4.93963561409 4.93963561409 98.8 95.5 0.453 0.115 0.169 7.3 14.8 35.3 Collison,Darren Dunleavy,Mike Granger,Danny Hansbrough,Tyler Hibbert,Roy 10
3.84707681233 3.76297754445 109.1 113.8 0.516 0.08 0.255 14.7 15.0 50.4 Chandler,Tyson Kidd,Jason Marion,Shawn Stevenson,DeShawn Terry,Jason 10
3.43511280746 3.4292856399 94.0 95.7 0.436 0.122 0.259 16.3 13.1 30.0 Barnes,Matt Blake,Steve Brown,Shannon Bynum,Andrew Odom,Lamar 10
3.54964786986 3.49857113691 98.7 110.3 0.554 0.157 0.252 14.4 13.8 45.5 Felton,Raymond Fields,Landry Gallinari,Danilo Stoudemire,Amar'e Turiaf,Ronny 10
2.56904651573 2.49799919936 93.4 102.4 0.5 0.135 0.25 9.6 12.5 40.9 Hinrich,Kirk Horford,Al Johnson,Joe Smith,Josh Williams,Marvin 10
3.63318042492 3.61109401705 113.9 97.9 0.427 0.146 0.291 16.5 7.1 33.5 Anthony,Joel Bosh,Chris Chalmers,Mario James,LeBron Wade,Dwyane 10
2.52982212813 2.52982212813 98.1 112.3 0.538 0.155 0.31 13.5 19.3 46.9 Biedrins,Andris Ellis,Monta Lee,David Williams,Reggie Wright,Dorell 10
3.7947331922 3.7947331922 112.3 91.3 0.466 0.164 0.188 10.1 14.7 41.2 World Peace,Metta Bryant,Kobe Bynum,Andrew Fisher,Derek Odom,Lamar 10
3.1304951685 2.96647939484 113.3 83.0 0.364 0.173 0.25 12.2 7.6 25.0 Asik,Omer Brewer,Ronnie Deng,Luol Gibson,Taj Rose,Derrick 10
3.66060104354 3.38230690506 96.5 101.5 0.473 0.156 0.285 17.4 16.7 46.6 Beasley,Michael Brewer,Corey Love,Kevin Milicic,Darko Ridnour,Luke 10
3.1304951685 2.96647939484 109.0 104.3 0.494 0.147 0.293 15.2 11.3 56.3 Bargnani,Andrea Calderon,Jose DeRozan,DeMar Johnson,Amir Johnson,James 10
3.74165738677 3.74165738677 108.7 104.2 0.492 0.16 0.305 11.6 13.9 43.1 Battier,Shane Lowry,Kyle Martin,Kevin Miller,Brad Scola,Luis 10
3.25576411922 3.09838667697 102.6 97.8 0.481 0.168 0.203 8.1 16.9 44.5 Casspi,Omri Cousins,DeMarcus Evans,Tyreke Thompson,Jason Udrih,Beno 10
4.04969134626 3.96988664826 102.8 108.7 0.536 0.179 0.339 18.2 7.9 38.4 Aldridge,LaMarcus Batum,Nicolas Matthews,Wesley Miller,Andre Przybilla,Joel 10
