52	35.6%	57	35.5%
39	50.0%	44	44.8%
57	37.4%	43	38.9%
41	44.9%	48	41.7%
41	45.8%	45	40.7%
45	40.6%	51	48.8%
39	45.6%	42	45.3%
48	45.1%	40	46.5%
42	47.1%	40	50.6%
34	50.6%	48	43.9%
41	50.0%	43	44.4%
49	39.8%	45	42.0%
37	56.3%	41	48.4%
40	41.6%	48	41.9%
47	36.8%	34	47.6%
38	51.2%	47	43.7%
50	42.7%	32	48.1%
34	48.1%	37	53.8%
37	44.9%	50	41.3%
40	50.0%	42	42.0%
38	54.5%	43	51.2%
52	33.0%	52	44.8%
44	40.5%	47	48.2%
41	48.1%	49	39.1%
48	40.7%	52	36.6%
39	41.8%	62	36.3%
43	45.7%	47	43.5%
35	49.4%	53	37.6%
51	38.6%	46	38.5%
41	53.3%	44	46.9%
46	46.1%	46	41.5%
42	44.6%	49	45.2%
43	41.2%	49	41.0%
31	48.6%	47	44.0%
37	47.9%	47	48.8%
36	48.1%	44	51.1%
40	60.2%	33	48.1%
41	41.5%	36	52.4%
44	52.4%	44	35.6%
38	41.5%	52	39.5%
50	50.6%	44	39.0%
39	47.7%	46	52.4%
34	48.8%	43	50.0%
44	43.0%	43	44.3%
42	43.6%	48	43.6%
50	47.4%	46	40.2%
50	43.0%	47	42.5%
38	41.0%	45	47.0%
36	57.5%	43	45.1%
32	60.7%	43	50.0%
35	50.0%	52	42.4%
35	46.9%	34	51.9%
47	40.0%	42	42.2%
36	53.1%	41	45.5%
38	45.1%	49	51.7%
47	44.3%	57	33.3%
33	53.2%	49	42.0%
49	47.2%	54	41.3%
47	44.0%	51	40.0%
36	49.4%	32	42.3%
37	43.2%	47	44.7%
42	38.3%	46	54.8%
43	39.8%	43	44.2%
53	45.3%	30	43.5%
47	45.7%	47	42.2%
47	44.4%	48	41.6%
38	50.0%	34	44.7%
33	50.6%	56	34.2%
40	45.2%	50	44.3%
49	49.4%	47	32.5%
24	51.3%	55	48.3%
43	48.2%	41	44.7%
47	35.1%	47	48.8%
51	43.9%	42	41.1%
46	50.6%	45	36.0%
46	40.5%	39	52.8%
37	50.0%	43	46.4%
34	53.2%	32	55.3%
52	46.0%	44	36.3%
44	45.1%	50	37.1%
57	35.9%	44	47.3%
40	44.6%	35	56.4%
40	50.6%	43	53.5%
44	43.6%	44	38.3%
36	50.0%	43	42.7%
42	43.4%	55	35.0%
47	46.2%	50	46.7%
36	52.9%	52	37.8%
35	47.1%	42	44.7%
46	37.0%	40	41.6%
46	44.0%	41	35.5%
42	44.7%	50	36.6%
41	46.3%	41	43.8%
34	47.7%	52	41.4%
44	50.7%	37	38.3%
48	42.1%	41	48.3%
44	42.1%	49	37.8%
34	46.1%	54	47.8%
